X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-77.0143442052899,38.9042110941346,18095420,2018/06/12 19:23:10+00,EVENING,OTHERS,THEFT F/AUTO,1100 - 1129 BLOCK OF NEW JERSEY AVENUE NW,398756,137372,6,6E,1,102,Cluster 8,004701 2,004701,Precinct 1,38.9042033056868,-77.0143419170292,MOUNT VERNON TRIANGLE CID,2018/06/12 15:00:22+00,2018/06/12 16:00:32+00,440980696,18095420-01
-77.0799468880119,38.9483614220702,18095430,2018/06/12 19:55:26+00,EVENING,OTHERS,THEFT/OTHER,4500 - 4537 BLOCK OF WISCONSIN AVENUE NW,393070,142276,3,3E,2,202,Cluster 11,001001 2,001001,Precinct 31,38.9483536271761,-77.0799445766197,,2018/06/12 19:14:36+00,2018/06/12 19:18:52+00,440980697,18095430-01
-77.0211763272773,38.9667096487937,18095431,2018/06/12 22:50:20+00,EVENING,OTHERS,THEFT/OTHER,500  - 699 BLOCK OF SOMERSET PLACE NW,398165,144310,4,4B,4,402,Cluster 17,001901 3,001901,Precinct 59,38.9667018480077,-77.0211740330645,,2018/06/12 16:30:44+00,2018/06/12 16:40:05+00,440980698,18095431-01
-77.0318127880531,38.9352953841754,18095445,2018/06/12 20:12:04+00,EVENING,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF PARKWOOD PLACE NW,397242,140823,1,1A,4,408,Cluster 2,002900 2,002900,Precinct 41,38.9352875901139,-77.0318104924516,,2018/06/12 06:30:36+00,2018/06/12 06:35:16+00,440980699,18095445-01
-77.0088170855254,38.958729921262,18095449,2018/06/12 22:53:34+00,EVENING,OTHERS,THEFT/OTHER,1  - 19 BLOCK OF MADISON STREET NE,399236,143424,4,4B,4,406,Cluster 17,009505 2,009505,Precinct 64,38.9587221216212,-77.008814795652,,2018/06/05 12:00:51+00,2018/06/12 15:00:40+00,440980700,18095449-01
-76.9713298810656,38.9331161888096,18095453,2018/06/12 21:56:44+00,EVENING,OTHERS,BURGLARY,2400 - 2441 BLOCK OF MONROE STREET NE,402486,140581,5,5C,5,503,Cluster 24,009400 3,009400,Precinct 71,38.9331083929312,-76.9713276044376,,2018/06/12 19:42:13+00,1970/01/01 00:00:00+00,440980701,18095453-01
-76.920529399236,38.8977529770858,18095454,2018/06/12 20:37:28+00,EVENING,OTHERS,THEFT F/AUTO,600 - 699 BLOCK OF 56TH STREET NE,406894,136658,7,7C,6,608,Cluster 31,007807 1,007807,Precinct 95,38.8977451864489,-76.9205271405909,,2018/06/12 18:15:53+00,2018/06/12 20:01:00+00,440980702,18095454-01
-77.0136525149052,38.9646568887493,18095456,2018/06/12 23:00:07+00,EVENING,OTHERS,THEFT F/AUTO,6110  - 6199 BLOCK OF 2ND STREET NW,398817,144082,4,4B,4,406,Cluster 17,001902 2,001902,Precinct 59,38.9646490880956,-77.0136502231622,,2018/06/12 14:00:02+00,2018/06/12 19:30:14+00,440980703,18095456-01
-77.0013037059156,38.8309645816275,18095461,2018/06/12 20:43:40+00,EVENING,OTHERS,BURGLARY,300 - 399 BLOCK OF ATLANTIC STREET SE,399887,129241,8,8D,7,708,Cluster 39,009811 1,009811,Precinct 125,38.8309568074775,-77.0013014261772,,2018/06/12 13:30:32+00,2018/06/12 18:30:17+00,440980704,18095461-01
-76.9848987090086,38.9077422727336,18095464,2018/06/12 20:49:14+00,EVENING,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF MEIGS PLACE NE,401310,137764,5,5D,5,506,Cluster 23,008804 1,008804,Precinct 78,38.9077344824764,-76.9848964297029,,2018/06/12 07:10:36+00,2018/06/12 19:30:47+00,440980705,18095464-01
